time,open,high,low,close,Up Trend,Down Trend,Body Middle
2023-10-31T18:00:00Z,2.234,2.234,2.1321,2.167,NaN,NaN,NaN
2023-10-31T18:15:00Z,2.1672,2.257,2.0926,2.2042,NaN,NaN,2.1856999999999998
2023-10-31T18:30:00Z,2.2062,2.3485,2.204,2.2745,NaN,NaN,2.2403500000000003
2023-10-31T18:45:00Z,2.2733,2.34,2.2561,2.2701,NaN,NaN,2.2717
2023-10-31T19:00:00Z,2.2715,2.368,2.204,2.3594,NaN,NaN,2.3154500000000002
2023-10-31T19:15:00Z,2.3585,2.4388,2.3244,2.4144,NaN,NaN,2.38645
2023-10-31T19:30:00Z,2.4127,2.4795,2.3927,2.4616,NaN,NaN,2.43715
2023-10-31T19:45:00Z,2.4607,2.477,2.3611,2.4425,NaN,NaN,2.4516
2023-10-31T20:00:00Z,2.4423,2.513,2.4148,2.4472,NaN,NaN,2.44475
2023-10-31T20:15:00Z,2.447,2.48,2.37,2.3894,NaN,2.7802,2.4182
2023-10-31T20:30:00Z,2.3894,2.4249,2.3155,2.3911,NaN,2.7226999999999997,2.39025
2023-10-31T20:45:00Z,2.3902,2.4077,2.3216,2.3627,NaN,2.7077299999999997,2.37645
2023-10-31T21:00:00Z,2.3635,2.3914,2.335,2.3744,NaN,2.688892,2.36895
2023-10-31T21:15:00Z,2.3744,2.4576,2.3582,2.4455,NaN,2.688892,2.4099500000000003
2023-10-31T21:30:00Z,2.4455,2.4695,2.3669,2.3788,NaN,2.688892,2.41215
2023-10-31T21:45:00Z,2.3776,2.4544,2.3728,2.4376,NaN,2.688892,2.4076000000000004
2023-10-31T22:00:00Z,2.439,2.46,2.4229,2.4407,NaN,2.688892,2.43985
2023-10-31T22:15:00Z,2.4409,2.4883,2.4221,2.4635,NaN,2.688892,2.4522
2023-10-31T22:30:00Z,2.4643,2.4643,2.4,2.4143,NaN,2.688892,2.4393000000000002
2023-10-31T22:45:00Z,2.4143,2.4343,2.3236,2.39,NaN,2.6595830247747996,2.40215
2023-10-31T23:00:00Z,2.39,2.424,2.3887,2.4191,NaN,2.6595830247747996,2.40455
2023-10-31T23:15:00Z,2.4191,2.422,2.3837,2.421,NaN,2.651183750067588,2.42005
2023-10-31T23:30:00Z,2.4209,2.431,2.328,2.3445,NaN,2.6339003750608296,2.3827
2023-10-31T23:45:00Z,2.3447,2.346,2.2245,2.2757,NaN,2.5506603375547465,2.3102
2023-11-01T00:00:00Z,2.2757,2.3354,2.2347,2.3274,NaN,2.5506603375547465,2.3015499999999998
2023-11-01T00:15:00Z,2.3275,2.3276,2.2534,2.294,NaN,2.5506603375547465,2.31075
2023-11-01T00:30:00Z,2.2923,2.3166,2.248,2.3111,NaN,2.54086823607741,2.3017000000000003
2023-11-01T00:45:00Z,2.3112,2.3933,2.3012,2.3566,NaN,2.54086823607741,2.3339
2023-11-01T01:00:00Z,2.3566,2.41,2.3338,2.3932,NaN,2.54086823607741,2.3749000000000002
2023-11-01T01:15:00Z,2.3924,2.3977,2.3538,2.3603,NaN,2.54086823607741,2.37635
2023-11-01T01:30:00Z,2.3603,2.368,2.2817,2.3355,NaN,2.54086823607741,2.3479
2023-11-01T01:45:00Z,2.3353,2.3353,2.2813,2.3192,NaN,2.54086823607741,2.3272500000000003
2023-11-01T02:00:00Z,2.3199,2.357,2.291,2.3234,NaN,2.54086823607741,2.32165
2023-11-01T02:15:00Z,2.3226,2.3415,2.2853,2.32,NaN,2.5406199489842933,2.3213
2023-11-01T02:30:00Z,2.3193,2.345,2.2991,2.3081,NaN,2.540317954085864,2.3137
2023-11-01T02:45:00Z,2.3077,2.3077,2.2268,2.2621,NaN,2.4880811586772777,2.2849000000000004
2023-11-01T03:00:00Z,2.262,2.263,2.15,2.2005,NaN,2.43914804280955,2.23125
2023-11-01T03:15:00Z,2.2006,2.2848,2.2,2.2651,NaN,2.43914804280955,2.23285
2023-11-01T03:30:00Z,2.2638,2.2938,2.2374,2.2444,NaN,2.43914804280955,2.2541
2023-11-01T03:45:00Z,2.2447,2.295,2.2438,2.281,NaN,2.43914804280955,2.2628500000000003
2023-11-01T04:00:00Z,2.282,2.282,2.243,2.2762,NaN,2.43914804280955,2.2790999999999997
2023-11-01T04:15:00Z,2.2751,2.3188,2.2526,2.3011,NaN,2.43914804280955,2.2881
2023-11-01T04:30:00Z,2.3017,2.3125,2.2663,2.2923,NaN,2.43914804280955,2.2969999999999997
2023-11-01T04:45:00Z,2.2925,2.2936,2.2491,2.2578,NaN,2.43914804280955,2.27515
2023-11-01T05:00:00Z,2.2578,2.263,2.2311,2.2392,NaN,2.4323930451561875,2.2485
2023-11-01T05:15:00Z,2.239,2.2556,2.2276,2.2276,NaN,2.416808740640569,2.2333
2023-11-01T05:30:00Z,2.2277,2.271,2.2105,2.2363,NaN,2.416587866576512,2.232
2023-11-01T05:45:00Z,2.2354,2.2466,2.2,2.216,NaN,2.3955340799188605,2.2257
2023-11-01T06:00:00Z,2.216,2.2429,2.181,2.2227,NaN,2.385530671926974,2.2193500000000004
2023-11-01T06:15:00Z,2.2217,2.2471,2.2171,2.2439,NaN,2.385530671926974,2.2328
2023-11-01T06:30:00Z,2.2437,2.2488,2.1894,2.2016,NaN,2.385530671926974,2.22265
2023-11-01T06:45:00Z,2.2009,2.2284,2.1998,2.2278,NaN,2.3725483098347646,2.2143499999999996
2023-11-01T07:00:00Z,2.2274,2.2308,2.159,2.1656,NaN,2.3590434788512877,2.1965
2023-11-01T07:15:00Z,2.166,2.2225,2.1245,2.2173,NaN,2.3506291309661593,2.19165
2023-11-01T07:30:00Z,2.2185,2.2544,2.19,2.2127,NaN,2.3506291309661593,2.2156000000000002
2023-11-01T07:45:00Z,2.2129,2.248,2.2035,2.2222,NaN,2.3506291309661593,2.21755
2023-11-01T08:00:00Z,2.2221,2.296,2.2114,2.265,NaN,2.3506291309661593,2.24355
2023-11-01T08:15:00Z,2.2656,2.2716,2.215,2.2389,NaN,2.3506291309661593,2.25225
2023-11-01T08:30:00Z,2.2395,2.275,2.22,2.2668,NaN,2.3506291309661593,2.2531499999999998
2023-11-01T08:45:00Z,2.2666,2.2841,2.2575,2.2599,NaN,2.3506291309661593,2.26325
